origin,destination,lat origin,long origin,lat destination,long destination
Antwerpen,Montpellier,51.2211097,4.3997081,43.6112422,3.8767337
Antwerpen,Nantes,51.2211097,4.3997081,47.2186371,-1.5541362
Antwerpen,Nice,51.2211097,4.3997081,43.7009358,7.2683912
Antwerpen,Paris,51.2211097,4.3997081,48.8566969,2.3514616
Antwerpen,Rennes,51.2211097,4.3997081,48.1113387,-1.6800198
Antwerpen,Strasbourg,51.2211097,4.3997081,48.584614,7.7507127
Antwerpen,Toulon,51.2211097,4.3997081,43.1257311,5.9304919
Antwerpen,Toulouse,51.2211097,4.3997081,43.6044622,1.4442469
Antwerpen,Aachen,51.2211097,4.3997081,50.776351,6.083862
Antwerpen,Berlin,51.2211097,4.3997081,52.5170365,13.3888599
Antwerpen,Bremen,51.2211097,4.3997081,53.0758196,8.8071646
Antwerpen,Dresden,51.2211097,4.3997081,51.0493286,13.7381437
Antwerpen,Dusseldorf,51.2211097,4.3997081,51.2254018,6.7763137
Antwerpen,Frankfurt Am Main,51.2211097,4.3997081,50.1106444,8.6820917
Antwerpen,Hamburg,51.2211097,4.3997081,53.543766,10.009915
Antwerpen,Hannover,51.2211097,4.3997081,52.379097,9.742982
Antwerpen,Karlsruhe,51.2211097,4.3997081,49.0068725,8.403475
Antwerpen,Kiel,51.2211097,4.3997081,54.3227085,10.135555
Antwerpen,Cologne,51.2211097,4.3997081,50.938361,6.959974
Antwerpen,Leipzig,51.2211097,4.3997081,51.3406321,12.3747329
Antwerpen,Mannheim,51.2211097,4.3997081,49.489591,8.467236
Antwerpen,Munich,51.2211097,4.3997081,48.1371079,11.5753822
Antwerpen,Ruhrgebiet (Essen),51.2211097,4.3997081,51.4118742,7.025698
Antwerpen,Saarbrucken,51.2211097,4.3997081,49.234362,6.996379
Antwerpen,Stuttgart,51.2211097,4.3997081,48.7784485,9.1800132
Antwerpen,Athens,51.2211097,4.3997081,37.9839412,23.7283052
Antwerpen,Thessaloniki,51.2211097,4.3997081,40.6403167,22.9352716
Antwerpen,Budapest,51.2211097,4.3997081,47.4983815,19.0404707
Antwerpen,Bari,51.2211097,4.3997081,41.1257843,16.8620293
Antwerpen,Bologna,51.2211097,4.3997081,44.4936714,11.3430347
Antwerpen,Brescia,51.2211097,4.3997081,45.539841,10.22296
Antwerpen,Catania,51.2211097,4.3997081,37.5022355,15.08738
Antwerpen,Florence,51.2211097,4.3997081,43.7698712,11.2555757
Antwerpen,Genoa,51.2211097,4.3997081,44.40726,8.9338624
Antwerpen,Milano,51.2211097,4.3997081,45.4668,9.1905
Antwerpen,Napoli,51.2211097,4.3997081,40.8359336,14.2487826
Antwerpen,Palermo,51.2211097,4.3997081,38.1112268,13.3524434
Antwerpen,Rome,51.2211097,4.3997081,41.8933203,12.4829321
Antwerpen,Turin,51.2211097,4.3997081,45.0677551,7.6824892
Antwerpen,Venice,51.2211097,4.3997081,45.43876,12.327145
Antwerpen,Verona,51.2211097,4.3997081,45.4384958,10.9924122
Antwerpen,Pristina,51.2211097,4.3997081,42.6638771,21.1640849
Antwerpen,Riga,51.2211097,4.3997081,56.9493977,24.1051846
Antwerpen,Vilnius,51.2211097,4.3997081,54.68199155,25.25625728
Antwerpen,Luxembourg,51.2211097,4.3997081,49.8158683,6.1296751
Antwerpen,Skopje,51.2211097,4.3997081,41.9960924,21.4316495
Antwerpen,Chisinau,51.2211097,4.3997081,47.0244707,28.8322534
Antwerpen,Podgorica,51.2211097,4.3997081,42.4415238,19.2621081
Antwerpen,Bergen,51.2211097,4.3997081,60.3943055,5.3259192
Antwerpen,Oslo,51.2211097,4.3997081,59.9133301,10.7389701
