lat origin airport,long origin airport,lat destination airport,long destination airport,origin airport,destination airport
48.23964126,14.19116693,45.36291249,5.329801127,linz,alpes-isere
48.23964126,14.19116693,50.5662597,3.100232821,linz,lille
48.23964126,14.19116693,45.72346294,5.08889179,linz,lyon-saint-exupery
48.23964126,14.19116693,43.43823641,5.21352416,linz,marseille-provence
48.23964126,14.19116693,43.58012973,3.966027437,linz,montpellier-mediterranee
48.23964126,14.19116693,47.15764493,-1.607390316,linz,nantes-atlantique
48.23964126,14.19116693,43.65975334,7.214028183,linz,nice-cote-d-azur-international
48.23964126,14.19116693,49.00828913,2.550384072,linz,charles-de-gaulle
48.23964126,14.19116693,48.0707405,-1.725586542,linz,rennes-saint-jacques
48.23964126,14.19116693,48.5397203,7.623374989,linz,strasbourg
48.23964126,14.19116693,43.09561307,6.148818236,linz,toulon-hyeres
48.23964126,14.19116693,43.62939862,1.367837851,linz,toulouse-blagnac
48.23964126,14.19116693,50.91226507,5.77065226,linz,maastricht-aachen
48.23964126,14.19116693,52.36474242,13.50960134,linz,berlin-brandenburg
48.23964126,14.19116693,53.04806814,8.78473663,linz,bremen
48.23964126,14.19116693,51.13236833,13.7662524,linz,dresden
48.23964126,14.19116693,51.28766157,6.766062556,linz,dusseldorf
48.23964126,14.19116693,50.03784999,8.561248945,linz,frankfurt
48.23964126,14.19116693,53.63336709,9.995435842,linz,hamburg
48.23964126,14.19116693,52.46331889,9.683620956,linz,hannover
48.23964126,14.19116693,48.77779916,8.08287255,linz,karlsruhe-baden-baden
48.23964126,14.19116693,53.63336709,9.995435842,linz,hamburg
0,0,0,0,0,0
48.23964126,14.19116693,51.41302084,12.23123543,linz,leipzig-halle
48.23964126,14.19116693,50.03784999,8.561248945,linz,frankfurt
48.23964126,14.19116693,48.35059566,11.77536828,linz,munich
48.23964126,14.19116693,51.28766157,6.766062556,linz,dusseldorf
48.23964126,14.19116693,49.21539581,7.110039004,linz,saarbrucken
48.23964126,14.19116693,48.68745178,9.205711172,linz,stuttgart
48.23964126,14.19116693,37.9371091,23.94884188,linz,athens-international
48.23964126,14.19116693,40.52064287,22.97082858,linz,thessaloniki-international-airport-macedonia
